Respondent ID,Respondant Zip Code,Urban or Rural Re-scaled,Age,Gender,Ethnicity,Income Re-scaled,Education Re-scaled,Household size Re-scaled,Marital,Employment Simple,Elections: I think elections are fair and reliable Re-scaled,"Elections: During the last (2022) election, I voted:",Elections: I understand the term 'democracy' to mean:,Elections: How would you define the political system in which you live? ,Political System Oppinions: Which of these two political systems do you think is the most effective and functional for making complex decisions? ,Political System Oppinions: Which of these two political systems would you prefer to live in?,Economic Instability Re-scaled,Energy Crisis Re-scaled,Climate Change Re-scaled,Lack of Natural Resources Re-scaled,Militarty Conflicts Re-scaled,Interstate Conflicts Re-scaled,Employment and Livelihood Re-scaled,Infectious Disease Re-scaled,AI Re-scaled,Cybersecurity Re-scaled,Crisis Composit Score,Systems Thinking Score,Trust Score,Conspiracy,Complexity,Openness,Conscienciousness,Extroversion,Agreeableness,Neuroticism
1469,85304,1,81,Male,White/Caucasian,4,5,1,Widowed,Retired,1,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,3,3,1,0,0,1,1,0,1,1,4,0.6944444444444444,0.666666675,0.2,0.46666666666666673,0.5555555555555556,0.7222222222222222,0.611111111111111,0.7222222222222222,0.16666666666666666
1470,85284,1,52,Male,White/Caucasian,9,5,3,Married or Partnered,Employed Full-time,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,0.333333325,0.6000000000000001,0.13333333333333336,0.9999999999999999,0.9999999999999999,0.8333333333333334,0.9999999999999999,0.16666666666666666
1471,86004,1,72,Female,White/Caucasian,6,2,2,Married or Partnered,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,0,0,0,1,0,0,0,0,0,0,0,0.5277777777777778,0.5,0.13333333333333336,0.6000000000000001,0.611111111111111,0.5555555555555556,0.611111111111111,0.38888888888888895,0.5
1472,85735,0,76,Female,White/Caucasian,7,5,3,Married or Partnered,Retired,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,3,2,0,3,3,2,2,1,2,3,10,0.8888888888888888,0.333333325,0.39999999999999997,0.3333333333333333,0.888888888888889,0.9444444444444445,0.9444444444444445,0.611111111111111,0.4444444444444444
1474,85364,1,48,Female,White/Caucasian,1,2,2,Single,Other,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,1,1,2,1,0,1,2,0,1,4,0.7222222222222222,0.5,0.3333333333333333,0.8,0.611111111111111,0.611111111111111,0.4444444444444444,0.611111111111111,0.9999999999999999
1476,85730,1,18,Female,White/Caucasian,8,2,4,Single,Employed Part-time,1,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,1,2,2,1,3,1,2,2,2,3,10,0.5555555555555556,0.5,0.46666666666666673,0.39999999999999997,0.38888888888888895,0.5555555555555556,0.611111111111111,0.7222222222222222,0.888888888888889
1478,85718,0,56,Female,White/Caucasian,9,5,2,Married or Partnered,Employed Part-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,1,2,0,0,0,2,3,0,0,5,0.8888888888888888,1.0,0.2,0.9333333333333333,0.611111111111111,0.888888888888889,0.33333333333333337,0.888888888888889,0.5
1480,85201,1,43,Female,White/Caucasian,6,5,2,Married or Partnered,Employed Full-time,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,1,1,0,1,1,0,2,1,1,5,0.5277777777777778,0.333333325,0.06666666666666671,0.46666666666666673,0.6666666666666666,0.7222222222222222,0.2777777777777778,0.5,0.888888888888889
1483,85248,1,24,Male,Black/African-American,2,2,2,Married or Partnered,Employed Full-time,1,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,2,2,1,2,0,0,3,2,0,0,5,0.5555555555555556,0.416666675,0.39999999999999997,0.46666666666666673,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.11111111111111113
1485,85297,1,74,Male,White/Caucasian,10,6,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,2,2,1,2,1,3,1,1,8,0.7777777777777777,0.75,0.2,0.6666666666666667,0.5,0.888888888888889,0.7222222222222222,0.7222222222222222,0.33333333333333337
1486,85255,1,77,Female,White/Caucasian,8,5,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,1,0,0,0,0,0,1,0,0,1,0.5277777777777778,0.833333375,0.13333333333333336,0.6000000000000001,0.611111111111111,0.7777777777777778,0.611111111111111,0.7777777777777778,0.16666666666666666
1487,85735,1,60,Female,Hispanic,1,3,1,Seperated,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,3,0,2,2,2,3,2,2,2,11,0.3611111111111111,0.0,0.3333333333333333,0.6000000000000001,0.5555555555555556,0.6666666666666666,0.16666666666666666,0.9444444444444445,0.7777777777777778
1489,85087,0,56,Female,White/Caucasian,7,4,3,Widowed,Employed Full-time,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,1,2,2,2,2,2,2,1,0,7,0.6666666666666666,0.833333375,0.3333333333333333,0.5333333333333334,0.8333333333333334,0.888888888888889,0.888888888888889,0.611111111111111,0.4444444444444444
1490,85021,1,52,Male,White/Caucasian,3,4,4,Married or Partnered,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,2,3,1,1,3,2,3,2,11,0.8888888888888888,0.75,0.9333333333333333,0.8666666666666667,0.888888888888889,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.611111111111111
1493,85658,1,20,Female,Hispanic,1,2,6,Single,Other,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,2,1,1,0,0,3,3,0,0,6,0.6944444444444444,0.5,0.39999999999999997,0.6000000000000001,0.8333333333333334,0.7222222222222222,0.7222222222222222,0.7777777777777778,0.5
1495,85032,1,47,Female,White/Caucasian,9,5,1,Single,Employed Full-time,2,Did not vote,That I can determine directly/by myself what happens in my country,Democracy,Neither,Neither,0,1,0,0,0,0,0,0,0,0,0,0.611111111111111,1.0,0.39999999999999997,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.611111111111111,0.8333333333333334,0.16666666666666666
1496,86442,1,33,Male,White/Caucasian,4,3,1,Single,Other,0,Did not vote,That I can determine directly/by myself what happens in my country,Democracy,Neither,Democracy,2,3,3,3,3,2,3,3,3,2,13,0.5833333333333333,0.25,0.5333333333333334,0.6666666666666667,0.888888888888889,0.888888888888889,0.611111111111111,0.7777777777777778,0.5555555555555556
1497,85721,1,23,Male,White/Caucasian,1,2,3,Single,Employed Part-time,2,Did not vote,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,2,2,0,0,0,2,1,0,1,4,0.75,0.583333325,0.0,0.6666666666666667,0.611111111111111,0.7222222222222222,0.5555555555555556,0.6666666666666666,0.38888888888888895
1498,85249,1,27,Male,Black/African-American,9,3,3,Single,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,0,2,0,0,0,0,1,0,2,3,0.6944444444444444,0.583333325,0.06666666666666671,0.7333333333333334,0.33333333333333337,0.8333333333333334,0.16666666666666666,0.9999999999999999,0.4444444444444444
1499,85296,1,71,Male,White/Caucasian,7,3,2,Married or Partnered,Retired,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,2,0,2,2,1,2,2,2,2,9,0.7222222222222222,0.08333334999999997,0.26666666666666666,0.13333333333333336,0.7222222222222222,0.7222222222222222,0.611111111111111,0.5555555555555556,0.6666666666666666
1501,86429,1,69,Female,White/Caucasian,8,5,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,1,2,1,1,0,0,1,1,1,3,0.5833333333333333,0.666666675,0.0,0.5333333333333334,0.7222222222222222,0.9444444444444445,0.5555555555555556,0.9444444444444445,0.11111111111111113
1504,85022,0,27,Male,White/Caucasian,4,4,3,Single,Employed Full-time,1,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,2,2,3,2,3,2,3,3,3,3,14,0.5833333333333333,0.666666675,0.3333333333333333,0.7333333333333334,0.9999999999999999,0.9444444444444445,0.6666666666666666,0.9444444444444445,0.05555555555555555
1505,85032,1,62,Male,White/Caucasian,8,5,2,Married or Partnered,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,2,2,1,0,0,1,0,1,2,0.7777777777777777,0.333333325,0.0,0.7333333333333334,0.5555555555555556,0.9444444444444445,0.33333333333333337,0.7777777777777778,0.38888888888888895
1506,85324,1,26,Female,Black/African-American,1,2,4,Married or Partnered,Employed Full-time,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,15,0.8888888888888888,0.08333334999999997,0.6000000000000001,0.8666666666666667,0.6666666666666666,0.888888888888889,0.6666666666666666,0.9999999999999999,0.9999999999999999
1509,85716,1,50,Male,White/Caucasian,6,5,1,Single,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,2,1,0,2,1,1,0,2,6,0.8055555555555555,0.416666675,0.2,0.8666666666666667,0.9444444444444445,0.5,0.5,0.4444444444444444,0.6666666666666666
1510,85013,1,42,Male,White/Caucasian,8,6,1,Single,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,0,0,1,0,0,0,0,1,0,0,1,0.611111111111111,0.666666675,0.2,0.8666666666666667,0.6666666666666666,0.8333333333333334,0.5,0.6666666666666666,0.33333333333333337
1511,85719,0,49,Male,Hispanic,9,6,3,Married or Partnered,Employed Full-time,3,Republican (Opposing Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Neither,3,3,2,2,1,2,1,1,2,3,9,0.4722222222222222,0.416666675,0.2,0.6000000000000001,0.5,0.611111111111111,0.5555555555555556,0.7222222222222222,0.38888888888888895
1512,85339,1,25,Male,Native American,2,3,4,Single,Employed Full-time,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Autocracy,Democracy,0,0,0,0,0,0,2,0,0,0,2,0.5833333333333333,0.0,0.7333333333333334,0.6000000000000001,0.7777777777777778,0.7222222222222222,0.38888888888888895,0.611111111111111,0.4444444444444444
1514,85015,1,67,Male,Black/African-American,2,4,1,Widowed,Unemployed,2,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,2,1,3,1,0,2,0,1,1,0,4,0.5833333333333333,0.333333325,0.0,0.5333333333333334,0.888888888888889,0.5,0.6666666666666666,0.5555555555555556,0.5
1515,85033,1,72,Female,Black/African-American,1,3,1,Widowed,Retired,3,Democratic (Ruling Party),That there is no great gap between rich and poor,Democracy,Democracy,Democracy,3,3,3,3,2,3,3,3,3,3,15,0.8055555555555555,0.416666675,0.2,0.7333333333333334,0.9999999999999999,0.9999999999999999,0.7222222222222222,0.7222222222222222,0.6666666666666666
1516,85375,1,68,Female,White/Caucasian,3,6,2,Married or Partnered,Retired,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.13333333333333336,0.06666666666666671,0.5,0.5,0.5,0.5555555555555556,0.38888888888888895
1517,85224,1,22,Female,Other,1,2,3,Single,Unemployed,2,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,1,1,1,0,0,0,1,1,0,0,2,0.38888888888888884,0.75,0.13333333333333336,0.39999999999999997,0.8333333333333334,0.611111111111111,0.5,0.6666666666666666,0.5555555555555556
1518,85204,1,27,Female,Hispanic,5,4,6,Married or Partnered,Employed Full-time,1,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,3,3,3,1,0,1,3,1,0,2,7,0.3055555555555555,0.08333334999999997,0.2,0.6666666666666667,0.8333333333333334,0.9444444444444445,0.38888888888888895,0.5555555555555556,0.5555555555555556
1519,85283,1,41,Female,White/Caucasian,1,3,1,Married or Partnered,Unemployed,0,Did not vote,That there is no great gap between rich and poor,Autocracy,Democracy,Democracy,2,1,1,0,0,2,1,1,0,0,4,0.8055555555555555,0.16666665000000003,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.6666666666666666,0.38888888888888895,0.5,0.4444444444444444
1520,85716,1,25,Female,Hispanic,5,5,2,Married or Partnered,Other,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,1,1,1,1,1,2,3,1,1,8,0.75,0.416666675,0.26666666666666666,0.5333333333333334,0.5,0.888888888888889,0.4444444444444444,0.7777777777777778,0.5
1521,85374,0,37,Male,White/Caucasian,5,4,4,Married or Partnered,Employed Full-time,1,Republican (Opposing Party),That there is no great gap between rich and poor,Democracy,Autocracy,Neither,3,2,2,2,2,3,3,2,2,1,11,0.7777777777777777,0.5,0.3333333333333333,0.6666666666666667,0.9999999999999999,0.9999999999999999,0.6666666666666666,0.9999999999999999,0.5
1522,85140,0,74,Male,White/Caucasian,8,3,2,Married or Partnered,Retired,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Autocracy,Neither,3,3,1,2,1,2,1,1,0,1,5,0.5555555555555556,0.666666675,0.2,0.13333333333333336,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5,0.38888888888888895
1523,85044,1,68,Male,White/Caucasian,8,5,2,Married or Partnered,Retired,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Autocracy,2,2,0,1,1,1,1,1,1,1,5,0.6944444444444444,0.75,0.26666666666666666,0.3333333333333333,0.611111111111111,0.888888888888889,0.611111111111111,0.8333333333333334,0.22222222222222218
1524,86333,0,32,Female,Other,5,3,2,Married or Partnered,Other,1,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,2,1,2,2,2,1,2,9,0.6666666666666666,0.333333325,0.46666666666666673,0.5333333333333334,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.611111111111111,0.9444444444444445
1526,86322,0,59,Male,Native American,7,6,2,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,2,2,3,2,1,2,0,2,1,0,5,0.7222222222222222,0.666666675,0.13333333333333336,0.8,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.33333333333333337
1527,85742,1,55,Male,White/Caucasian,8,6,4,Married or Partnered,Employed Full-time,3,Republican (Opposing Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,1,1,0,0,2,1,0,1,1,1,4,1.0,1.0,0.2,0.13333333333333336,0.7222222222222222,0.8333333333333334,0.9444444444444445,0.888888888888889,0.38888888888888895
1528,85006,1,41,Male,Hispanic,2,2,5,Single,Employed Full-time,2,Democratic (Ruling Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,2,1,1,2,3,0,1,2,1,1,5,0.41666666666666663,0.416666675,0.39999999999999997,0.5333333333333334,0.22222222222222218,0.33333333333333337,0.5555555555555556,0.611111111111111,0.4444444444444444
1529,85715,1,26,Female,Black/African-American,1,3,3,Single,Employed Full-time,2,Did not vote,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,2,2,3,3,1,3,12,0.5555555555555556,0.5,0.46666666666666673,0.5333333333333334,0.888888888888889,0.611111111111111,0.8333333333333334,0.888888888888889,0.5
1530,85712,1,43,Male,Asian,8,6,1,Single,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,3,2,2,1,1,2,1,1,6,0.7222222222222222,0.25,0.0,0.8,0.611111111111111,0.6666666666666666,0.33333333333333337,0.5555555555555556,0.38888888888888895
1532,85138,0,61,Female,White/Caucasian,8,3,4,Widowed,Retired,1,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,1,2,3,2,1,1,2,3,0,0,6,0.7777777777777777,1.0,0.2,0.6000000000000001,0.9999999999999999,0.9999999999999999,0.888888888888889,0.9444444444444445,0.22222222222222218
1533,86336,0,62,Male,White/Caucasian,6,5,2,Married or Partnered,Retired,1,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,1,1,0,0,0,0,0,1,0,1,2,0.611111111111111,0.333333325,0.0,0.46666666666666673,0.11111111111111113,0.9999999999999999,0.6666666666666666,0.33333333333333337,0.05555555555555555
1534,85142,0,36,Female,Black/African-American,7,4,5,Seperated,Employed Part-time,0,Did not vote,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,2,1,1,1,2,3,1,0,7,0.6944444444444444,0.0,0.46666666666666673,0.6000000000000001,0.888888888888889,0.888888888888889,0.38888888888888895,0.9444444444444445,0.611111111111111
1535,85714,0,27,Female,Hispanic,4,3,5,Single,Employed Full-time,1,Democratic (Ruling Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,2,0,1,0,2,1,2,1,1,1,6,0.6944444444444444,0.5,0.26666666666666666,0.6666666666666667,0.9999999999999999,0.8333333333333334,0.38888888888888895,0.9999999999999999,0.6666666666666666
1536,85282,1,39,Male,Hispanic,6,2,6,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Neither,2,1,2,1,1,2,1,1,2,1,7,0.6944444444444444,0.75,0.2,0.6000000000000001,0.9999999999999999,0.8333333333333334,0.5555555555555556,0.9444444444444445,0.05555555555555555
1537,85367,1,52,Female,White/Caucasian,3,2,2,Married or Partnered,Other,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,0,0,0,0,0,1,1,0,0,2,0.9444444444444444,0.833333375,0.2,0.5333333333333334,0.5555555555555556,0.9999999999999999,0.16666666666666666,0.9444444444444445,0.9444444444444445
1538,85335,1,26,Male,White/Caucasian,5,2,4,Single,Employed Full-time,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,3,3,0,0,0,0,0,0,0,0,0,0.5,0.5,0.13333333333333336,0.5333333333333334,0.8333333333333334,0.9444444444444445,0.9444444444444445,0.888888888888889,0.38888888888888895
1540,85050,1,61,Female,White/Caucasian,5,5,1,Seperated,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,1,1,1,0,1,1,0,0,2,0.7777777777777777,0.5,0.2,0.8,0.6666666666666666,0.611111111111111,0.7222222222222222,0.7222222222222222,0.7777777777777778
1542,85140,1,49,Female,White/Caucasian,9,2,3,Married or Partnered,Employed Full-time,0,Republican (Opposing Party),That there is no great gap between rich and poor,Democracy,Neither,Neither,3,1,0,0,0,0,1,0,0,0,1,0.611111111111111,0.333333325,0.13333333333333336,0.5333333333333334,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.9999999999999999,0.9444444444444445
1543,85213,1,70,Female,White/Caucasian,7,6,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,1,2,1,0,0,0,2,1,1,4,0.611111111111111,0.583333325,0.0,0.6000000000000001,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.22222222222222218
1544,85712,1,31,Female,Hispanic,1,2,5,Single,Other,0,Did not vote,That there is no great gap between rich and poor,Democracy,Neither,Neither,3,3,3,3,1,1,3,3,1,1,9,0.75,0.08333334999999997,0.6000000000000001,0.26666666666666666,0.9444444444444445,0.8333333333333334,0.6666666666666666,0.7777777777777778,0.9444444444444445
1545,85016,1,36,Other,White/Caucasian,2,4,1,Married or Partnered,Unemployed,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Neither,3,1,1,3,1,0,3,1,1,1,6,0.7222222222222222,0.5,0.06666666666666671,0.8,0.9999999999999999,0.7222222222222222,0.4444444444444444,0.6666666666666666,0.6666666666666666
